actual_price,predicted_price,dataset_type,error,abs_error,pct_error
22000000.000000007,19890044.841424543,Train,2109955.158575464,2109955.158575464,9.590705266252106
4199999.999999997,9558091.995086497,Train,-5358091.9950864995,5358091.9950864995,127.57361893063101
6499999.999999999,5950705.826524445,Train,549294.1734755542,549294.1734755542,8.450679591931605
8599999.999999996,7149073.5732320575,Train,1450926.4267679388,1450926.4267679388,16.871237520557436
27900000.000000034,30880567.63570017,Train,-2980567.6357001364,2980567.6357001364,10.683038120789007
12000000.000000007,11260267.658690548,Train,739732.3413094599,739732.3413094599,6.164436177578828
28999999.999999948,31201679.974153772,Train,-2201679.974153824,2201679.974153824,7.591999910875269
14700000.000000002,12485367.663467456,Train,2214632.336532546,2214632.336532546,15.065526098860857
15000000.00000001,16300434.263822695,Train,-1300434.263822686,1300434.263822686,8.6695617588179
10499999.999999994,6401298.571066995,Train,4098701.4289329993,4098701.4289329993,39.03525170412382
22000000.000000007,25890463.1888337,Train,-3890463.188833691,3890463.188833691,17.68392358560768
8499999.999999998,6682025.369965619,Train,1817974.6300343787,1817974.6300343787,21.387936823933874
7949999.999999994,7378579.08754197,Train,571420.912458024,571420.912458024,7.187684433434269
11000000.000000013,7507584.731611821,Train,3492415.268388192,3492415.268388192,31.749229712619893
6499999.999999999,8776564.025422078,Train,-2276564.0254220786,2276564.0254220786,35.02406192957044
18700000.00000003,19854815.27716612,Train,-1154815.277166091,1154815.277166091,6.175482765594059
12499999.999999985,9415885.180047436,Train,3084114.8199525494,3084114.8199525494,24.672918559620424
9999999.999999996,10372502.026265673,Train,-372502.02626567706,372502.02626567706,3.7250202626567717
47600000.00000002,48620992.276325285,Train,-1020992.2763252631,1020992.2763252631,2.1449417569858458
12000000.000000007,7366100.24906323,Train,4633899.750936777,4633899.750936777,38.615831257806455
42500000.00000005,26413215.28967857,Train,16086784.710321482,16086784.710321482,37.85125814193285
9400000.000000015,9911851.921547465,Train,-511851.9215474501,511851.9215474501,5.445233207951588
30999999.999999978,18414176.159529403,Train,12585823.840470575,12585823.840470575,40.59943174345349
16999999.999999974,24910899.097606294,Train,-7910899.09760632,7910899.09760632,46.5347005741549
25999999.999999985,26959398.995696727,Train,-959398.9956967421,959398.9956967421,3.6899961372951635
9900000.000000013,10996921.194043117,Train,-1096921.1940431036,1096921.1940431036,11.080012061041437
59099999.99999994,61813685.26776003,Train,-2713685.2677600905,2713685.2677600905,4.591684040203203
